video_id,title,published_at,view_count,like_count,category_id,is_music,member_id,member_name,generation,unit
Md_betPuYcI,나도 산타복 볼래 #cartoon #comic #vtuber #shorts,2026-01-18,335224,10488,10,True,shirayuki_hina,시라유키 히나,2,Universe
c6JymG9AAyI,[4K] STELLIVE 시라유키 히나 생일 3D🍰 | 히나의 방 소개 + 미니 콘서트🎤,2026-01-12,75473,4016,10,True,shirayuki_hina,시라유키 히나,2,Universe
WykYeuqGxh8,Melt (メルト/supercell ) | 시라유키 히나 Cover,2026-01-05,617886,12996,10,True,shirayuki_hina,시라유키 히나,2,Universe
YorjOBy85ck,크리스마스 송(クリスマスソング) | 시라유키 히나 Cover,2025-12-25,306185,9643,10,True,shirayuki_hina,시라유키 히나,2,Universe
miUNr6-p1No,"""Aim monster"" #vtuber #shorts",2025-12-14,341647,8020,10,True,shirayuki_hina,시라유키 히나,2,Universe
4f_RL_wT4V4,무친 피지컬 무빙 #vtuber #shorts,2025-12-13,244411,4997,10,True,shirayuki_hina,시라유키 히나,2,Universe
8AheuZqtqo0,매순간이 레전드 매드무비 #vtuber #shorts,2025-12-12,180952,4712,10,True,shirayuki_hina,시라유키 히나,2,Universe
8NxR61pZYCw,"""진짜 재능"" #vtuber #shorts",2025-12-12,281075,6851,10,True,shirayuki_hina,시라유키 히나,2,Universe
wSfZ5OJ__Lo,얼렁뚱땅 문도의 하루 #vtuber #shorts,2025-12-11,226738,5736,10,True,shirayuki_hina,시라유키 히나,2,Universe
tY7Rj_LtAfY,"료이키텐카이 ""문아일체"" #vtuber #shorts",2025-12-11,275118,6392,10,True,shirayuki_hina,시라유키 히나,2,Universe
uZApIwZQUEw,오케이. #vtuber #shorts,2025-12-10,106083,3668,10,True,shirayuki_hina,시라유키 히나,2,Universe
hxWXzrCG_ms,✨히나랑 오붓하게!✨ (오 샹젤리제 / Joe Dassin - Les Champs Élysées) animation #meme #comic #vtuber #shorts,2025-12-10,206105,8036,10,True,shirayuki_hina,시라유키 히나,2,Universe
6RKyMwilHJ0,『명조:워더링 웨이브』선약 방송국 EP 2.8 '치사' OST x 시라유키 히나 ── ｢개화」,2025-12-07,246734,6483,10,True,shirayuki_hina,시라유키 히나,2,Universe
HbD7rLxrL8Q,여우 괴롭히는 법 알려드립니다 #cartoon #comic #vtuber #shorts,2025-12-03,538103,16409,10,True,shirayuki_hina,시라유키 히나,2,Universe
HmIIC3XweQw,내가 이상한 것 좀 그만 보랬잖아... #cartoon #comic #vtuber #shorts,2025-11-30,277184,9283,10,True,shirayuki_hina,시라유키 히나,2,Universe
fyoOXpx3Cf0,🎃히나와 Fancy dress party!🎃 #仮装狂騒曲 #meme #comic #vtuber #shorts,2025-11-27,83774,4541,10,True,shirayuki_hina,시라유키 히나,2,Universe
CX-uXwB4v6s,아무래도 그냥 죽으려고요 #cartoon #comic #vtuber #shorts,2025-11-25,777630,19490,10,True,shirayuki_hina,시라유키 히나,2,Universe
9kvoxFiYmWU,"깜빡임 (瞬き, back number) arrange ver. | 시라유키 히나 Cover",2025-11-21,785029,11354,10,True,shirayuki_hina,시라유키 히나,2,Universe
E5m5-WsqvBY,너희들... 벗고 싶었구나? #cartoon #comic #vtuber #shorts,2025-11-18,491872,15881,10,True,shirayuki_hina,시라유키 히나,2,Universe
gMHl37I1c88,사장이 직접 하는 다음 신의상 스?포 #vtuber #shorts,2025-11-14,271432,6417,10,True,shirayuki_hina,시라유키 히나,2,Universe
YYtUzr1Y9lM,화났을 때 올바른 대처법 #vtuber #shorts,2025-11-12,116075,3658,10,True,shirayuki_hina,시라유키 히나,2,Universe
eODDkAQKGaI,운동할 때 나는 소리 #vtuber #shorts,2025-11-10,331752,7125,10,True,shirayuki_hina,시라유키 히나,2,Universe
