video_no,title,date,duration_min,category,view_count,member_id,member_name,generation,unit,collab_members,is_collab
10954601,고아온 마지막 날! / 멋사님 rpg 서버,2025-12-28,74.0,마인크래프트,962,aokumo_rin,아오쿠모 린,3,Cliché,,False
10947053,고아온 / 멋사님 rpg 서버,2025-12-28,143.1,마인크래프트,1834,aokumo_rin,아오쿠모 린,3,Cliché,,False
10944543,고아온 / 멋사님 rpg 서버,2025-12-28,515.0,마인크래프트,1508,aokumo_rin,아오쿠모 린,3,Cliché,,False
10929784,고아온은 히든이 밉다 / 멋사님 rpg 서버,2025-12-27,644.9,마인크래프트,2026,aokumo_rin,아오쿠모 린,3,Cliché,,False
10909854,고아온도 히든이 먹고싶다 / 멋사님 rpg 서버,2025-12-26,531.9,마인크래프트,2828,aokumo_rin,아오쿠모 린,3,Cliché,,False
10895343,고아온 렛츠고,2025-12-25,237.7,마인크래프트,4109,aokumo_rin,아오쿠모 린,3,Cliché,,False
10889648,고아온 렛츠고,2025-12-25,439.4,마인크래프트,8238,aokumo_rin,아오쿠모 린,3,Cliché,,False
10877042,코막히지만 히든은 찾아야 해,2025-12-24,82.4,마인크래프트,2360,aokumo_rin,아오쿠모 린,3,Cliché,,False
10875634,코막히지만 히든은 찾아야 해,2025-12-24,23.4,마인크래프트,882,aokumo_rin,아오쿠모 린,3,Cliché,,False
10875054,코막히지만 히든은 찾아야 해,2025-12-24,761.3,마인크래프트,2522,aokumo_rin,아오쿠모 린,3,Cliché,,False
10864069,코막히지만 히든은 찾아야 해,2025-12-23,22.9,마인크래프트,772,aokumo_rin,아오쿠모 린,3,Cliché,,False
10858895,멋사님 서버 오픈런해유,2025-12-23,327.9,마인크래프트,2375,aokumo_rin,아오쿠모 린,3,Cliché,,False
10851837,멋사님 서버 오픈런해유,2025-12-22,286.3,마인크래프트,2654,aokumo_rin,아오쿠모 린,3,Cliché,,False
10842972,멋사님 서버 잠깐 맛보기,2025-12-22,215.2,마인크래프트,3854,aokumo_rin,아오쿠모 린,3,Cliché,,False
10786329,저희 밥 먹게 해주세요... w. 네리사,2025-12-18,86.0,talk,7377,aokumo_rin,아오쿠모 린,3,Cliché,,False
10774997,스텔 롤 내전 오후 6시!,2025-12-17,390.1,리그 오브 레전드,3753,aokumo_rin,아오쿠모 린,3,Cliché,,False
10759986,로오오오오오올,2025-12-17,313.2,리그 오브 레전드,2710,aokumo_rin,아오쿠모 린,3,Cliché,,False
10747735,원딜은 무엇인가,2025-12-16,365.6,리그 오브 레전드,3174,aokumo_rin,아오쿠모 린,3,Cliché,,False
10730287,"롤은 무엇인가 w. 후야, 타비선배",2025-12-15,306.9,talk,2218,aokumo_rin,아오쿠모 린,3,Cliché,"sakihane_huya,arahashi_tabi",True
10713995,롤의 후열 롤 w. 싸장님,2025-12-14,308.8,리그 오브 레전드,3816,aokumo_rin,아오쿠모 린,3,Cliché,,False
10691864,잠깐 보러왔어용,2025-12-12,46.4,talk,1981,aokumo_rin,아오쿠모 린,3,Cliché,,False
10648069,힘든 하루였다...,2025-12-10,260.0,전략적 팀 전투 : 우주의 신들,2073,aokumo_rin,아오쿠모 린,3,Cliché,,False
10632101,"롤해유 w. 싸장님, 타비, 부키, 리코",2025-12-09,334.9,리그 오브 레전드,2902,aokumo_rin,아오쿠모 린,3,Cliché,"arahashi_tabi,yuzuha_riko",True
10617096,20만 쿠리미들과 함께하는 Q&A!,2025-12-08,245.6,talk,4393,aokumo_rin,아오쿠모 린,3,Cliché,,False
10579074,완전 짧방이지만 잠깐 보러왔다용,2025-12-05,42.7,talk,2643,aokumo_rin,아오쿠모 린,3,Cliché,,False
10570011,"영원히 함께야 w. 후야, 리코",2025-12-05,397.7,이터널 리턴,3344,aokumo_rin,아오쿠모 린,3,Cliché,"sakihane_huya,yuzuha_riko",True
10540179,우우...,2025-12-03,412.7,산나비,3947,aokumo_rin,아오쿠모 린,3,Cliché,,False
10521036,"햅삐 이리~ w. 후야, 리코",2025-12-02,347.7,이터널 리턴,2398,aokumo_rin,아오쿠모 린,3,Cliché,"sakihane_huya,yuzuha_riko",True
10505274,"섬 납치 성공 w. 후야, 리코",2025-12-01,314.6,이터널 리턴,2657,aokumo_rin,아오쿠모 린,3,Cliché,"sakihane_huya,yuzuha_riko",True
10489458,산나비나비야 어디로 가느냐,2025-11-30,253.8,산나비,4136,aokumo_rin,아오쿠모 린,3,Cliché,,False
10468938,[광고] 명일방주: 엔드필드 체험기!,2025-11-28,250.3,명일방주: 엔드필드,2522,aokumo_rin,아오쿠모 린,3,Cliché,,False
10458695,강제 후열,2025-11-28,347.9,리그 오브 레전드,3498,aokumo_rin,아오쿠모 린,3,Cliché,,False
10409648,협곡 나들이,2025-11-25,271.4,리그 오브 레전드,2613,aokumo_rin,아오쿠모 린,3,Cliché,,False
10395270,이브 후 이리,2025-11-24,316.2,이터널 리턴,4125,aokumo_rin,아오쿠모 린,3,Cliché,,False
10371543,"미메시스 w. 유니,부키,나나",2025-11-22,272.4,미메시스,3556,aokumo_rin,아오쿠모 린,3,Cliché,"ayatsuno_yuni,hanako_nana",True
10355743,갑분이,2025-11-21,261.9,이터널 리턴,3513,aokumo_rin,아오쿠모 린,3,Cliché,,False
10310961,막국수 최고,2025-11-19,300.0,이터널 리턴,2880,aokumo_rin,아오쿠모 린,3,Cliché,,False
10291705,유후~린 아크 레이더스,2025-11-17,292.9,아크 레이더스,1973,aokumo_rin,아오쿠모 린,3,Cliché,,False
10279475,멀미는 나지만 스토리는 재밌다...!!!!!!,2025-11-17,267.3,디트로이트: 비컴 휴먼,2795,aokumo_rin,아오쿠모 린,3,Cliché,,False
10262142,멀미런,2025-11-16,278.3,데드 바이 데이라이트,3596,aokumo_rin,아오쿠모 린,3,Cliché,,False
10228799,갱얼쥐 기여워!,2025-11-14,316.4,마이 리틀 퍼피,3748,aokumo_rin,아오쿠모 린,3,Cliché,,False
10212862,"이리? w. 후야, 타비 / 유니선배 삐질게 많관부!",2025-11-13,321.0,이터널 리턴,3011,aokumo_rin,아오쿠모 린,3,Cliché,"ayatsuno_yuni,sakihane_huya,arahashi_tabi",True
10192826,"돈슛! w. 후야, 타비 / STAY 많관부!",2025-11-11,303.2,아크 레이더스,3314,aokumo_rin,아오쿠모 린,3,Cliché,"sakihane_huya,arahashi_tabi",True
10180496,난 또 쓰레기를 주워...,2025-11-11,269.4,이터널 리턴,2282,aokumo_rin,아오쿠모 린,3,Cliché,,False
10098282,농장 오리,2025-11-06,302.1,이스케이프 프롬 덕코프,2279,aokumo_rin,아오쿠모 린,3,Cliché,,False
10081406,쓰레기 줍는 멋진 오리,2025-11-05,276.6,이스케이프 프롬 덕코프,1906,aokumo_rin,아오쿠모 린,3,Cliché,,False
10065803,드디어 덕코프 해봐요,2025-11-04,281.8,이스케이프 프롬 덕코프,2679,aokumo_rin,아오쿠모 린,3,Cliché,,False
10045441,푸키몬 쪼금 찌르기 권법 (TES vs T1 4강 입중계 후 후열),2025-11-02,291.6,포켓몬 레전드 Z-A,2922,aokumo_rin,아오쿠모 린,3,Cliché,,False
10027621,GEN vs KT 세미파이널 입중계!(둘다응원하면서봐요) ,2025-11-01,247.4,리그 오브 레전드,2772,aokumo_rin,아오쿠모 린,3,Cliché,,False
10013916,"🎃🍭해피할로윈🎃🍭 후열 w. 유니,리제,부키,리코 ",2025-11-01,363.1,데드 바이 데이라이트,4276,aokumo_rin,아오쿠모 린,3,Cliché,"ayatsuno_yuni,akane_lize,yuzuha_riko",True
9930669,마크 짧게... / 네리사X린 다이너마이트 많관부!,2025-10-26,135.5,마인크래프트,3910,aokumo_rin,아오쿠모 린,3,Cliché,,False
9917690,"[마통대 남봉팀] 아오천포 린 (w. 남봉, 둥그레, 고수달)",2025-10-26,309.6,마인크래프트,10319,aokumo_rin,아오쿠모 린,3,Cliché,,False
